,lat,lon,ano,mes
9228,-7.2399375206127985,323.5,2013,1
9229,-7.2399375206127985,323.5,2013,2
9230,-7.2399375206127985,323.5,2013,3
9231,-7.2399375206127985,323.5,2013,4
9232,-7.2399375206127985,323.5,2013,5
9233,-7.2399375206127985,323.5,2013,6
9234,-7.2399375206127985,323.5,2013,7
9235,-7.2399375206127985,323.5,2013,8
9236,-7.2399375206127985,323.5,2013,9
9237,-7.2399375206127985,323.5,2013,10
9238,-7.2399375206127985,323.5,2013,11
9239,-7.2399375206127985,323.5,2013,12
9240,-7.2399375206127985,323.5,2014,1
9241,-7.2399375206127985,323.5,2014,2
9242,-7.2399375206127985,323.5,2014,3
9243,-7.2399375206127985,323.5,2014,4
9244,-7.2399375206127985,323.5,2014,5
9245,-7.2399375206127985,323.5,2014,6
9246,-7.2399375206127985,323.5,2014,7
9247,-7.2399375206127985,323.5,2014,8
9248,-7.2399375206127985,323.5,2014,9
9249,-7.2399375206127985,323.5,2014,10
9250,-7.2399375206127985,323.5,2014,11
9251,-7.2399375206127985,323.5,2014,12
9252,-7.2399375206127985,323.5,2015,1
9253,-7.2399375206127985,323.5,2015,2
9254,-7.2399375206127985,323.5,2015,3
9255,-7.2399375206127985,323.5,2015,4
9256,-7.2399375206127985,323.5,2015,5
9257,-7.2399375206127985,323.5,2015,6
9258,-7.2399375206127985,323.5,2015,7
9259,-7.2399375206127985,323.5,2015,8
9260,-7.2399375206127985,323.5,2015,9
9261,-7.2399375206127985,323.5,2015,10
9262,-7.2399375206127985,323.5,2015,11
9263,-7.2399375206127985,323.5,2015,12
9264,-7.2399375206127985,323.5,2016,1
9265,-7.2399375206127985,323.5,2016,2
9266,-7.2399375206127985,323.5,2016,3
9267,-7.2399375206127985,323.5,2016,4
9268,-7.2399375206127985,323.5,2016,5
9269,-7.2399375206127985,323.5,2016,6
9270,-7.2399375206127985,323.5,2016,7
9271,-7.2399375206127985,323.5,2016,8
9272,-7.2399375206127985,323.5,2016,9
9273,-7.2399375206127985,323.5,2016,10
9274,-7.2399375206127985,323.5,2016,11
9275,-7.2399375206127985,323.5,2016,12
9276,-7.2399375206127985,323.5,2017,1
9277,-7.2399375206127985,323.5,2017,2
9278,-7.2399375206127985,323.5,2017,3
9279,-7.2399375206127985,323.5,2017,4
9280,-7.2399375206127985,323.5,2017,5
9281,-7.2399375206127985,323.5,2017,6
9282,-7.2399375206127985,323.5,2017,7
9283,-7.2399375206127985,323.5,2017,8
9284,-7.2399375206127985,323.5,2017,9
9285,-7.2399375206127985,323.5,2017,10
9286,-7.2399375206127985,323.5,2017,11
9287,-7.2399375206127985,323.5,2017,12
9288,-7.2399375206127985,323.5,2018,1
9289,-7.2399375206127985,323.5,2018,2
9290,-7.2399375206127985,323.5,2018,3
9291,-7.2399375206127985,323.5,2018,4
9292,-7.2399375206127985,323.5,2018,5
9293,-7.2399375206127985,323.5,2018,6
9294,-7.2399375206127985,323.5,2018,7
9295,-7.2399375206127985,323.5,2018,8
9296,-7.2399375206127985,323.5,2018,9
9297,-7.2399375206127985,323.5,2018,10
9298,-7.2399375206127985,323.5,2018,11
9299,-7.2399375206127985,323.5,2018,12
9300,-7.2399375206127985,323.5,2019,1
9301,-7.2399375206127985,323.5,2019,2
9302,-7.2399375206127985,323.5,2019,3
9303,-7.2399375206127985,323.5,2019,4
9304,-7.2399375206127985,323.5,2019,5
9305,-7.2399375206127985,323.5,2019,6
9306,-7.2399375206127985,323.5,2019,7
9307,-7.2399375206127985,323.5,2019,8
9308,-7.2399375206127985,323.5,2019,9
9309,-7.2399375206127985,323.5,2019,10
9310,-7.2399375206127985,323.5,2019,11
9311,-7.2399375206127985,323.5,2019,12
9312,-7.2399375206127985,323.5,2020,1
9313,-7.2399375206127985,323.5,2020,2
9314,-7.2399375206127985,323.5,2020,3
9315,-7.2399375206127985,323.5,2020,4
9316,-7.2399375206127985,323.5,2020,5
9317,-7.2399375206127985,323.5,2020,6
9318,-7.2399375206127985,323.5,2020,7
9319,-7.2399375206127985,323.5,2020,8
9320,-7.2399375206127985,323.5,2020,9
9321,-7.2399375206127985,323.5,2020,10
9322,-7.2399375206127985,323.5,2020,11
9323,-7.2399375206127985,323.5,2020,12
9324,-7.2399375206127985,323.5,2021,1
9325,-7.2399375206127985,323.5,2021,2
9326,-7.2399375206127985,323.5,2021,3
9327,-7.2399375206127985,323.5,2021,4
9328,-7.2399375206127985,323.5,2021,5
9329,-7.2399375206127985,323.5,2021,6
9330,-7.2399375206127985,323.5,2021,7
9331,-7.2399375206127985,323.5,2021,8
9332,-7.2399375206127985,323.5,2021,9
9333,-7.2399375206127985,323.5,2021,10
9334,-7.2399375206127985,323.5,2021,11
9335,-7.2399375206127985,323.5,2021,12
9336,-7.2399375206127985,323.5,2022,1
9337,-7.2399375206127985,323.5,2022,2
9338,-7.2399375206127985,323.5,2022,3
9339,-7.2399375206127985,323.5,2022,4
9340,-7.2399375206127985,323.5,2022,5
9341,-7.2399375206127985,323.5,2022,6
9342,-7.2399375206127985,323.5,2022,7
9343,-7.2399375206127985,323.5,2022,8
9344,-7.2399375206127985,323.5,2022,9
9345,-7.2399375206127985,323.5,2022,10
9346,-7.2399375206127985,323.5,2022,11
9347,-7.2399375206127985,323.5,2022,12
9348,-7.2399375206127985,323.5,2023,1
9349,-7.2399375206127985,323.5,2023,2
9350,-7.2399375206127985,323.5,2023,3
9351,-7.2399375206127985,323.5,2023,4
9352,-7.2399375206127985,323.5,2023,5
9353,-7.2399375206127985,323.5,2023,6
9354,-7.2399375206127985,323.5,2023,7
9355,-7.2399375206127985,323.5,2023,8
9356,-7.2399375206127985,323.5,2023,9
