,lat,lon,ano,mes,IDW
99,-8.238549579800534,321.0,2002,4,53.926795492423096
100,-8.238549579800534,321.0,2002,5,86.38997882899523
101,-8.238549579800534,321.0,2002,6,8.072019283094319
102,-8.238549579800534,321.0,2002,7,33.7059926580624
103,-8.238549579800534,321.0,2002,8,0.055695856208866724
104,-8.238549579800534,321.0,2002,9,1.9790605443503526
105,-8.238549579800534,321.0,2002,10,1.2701120905491656
106,-8.238549579800534,321.0,2002,11,7.673816818470413
107,-8.238549579800534,321.0,2002,12,48.980064646520034
108,-8.238549579800534,321.0,2003,1,200.62535766494872
109,-8.238549579800534,321.0,2003,2,133.3017930162141
110,-8.238549579800534,321.0,2003,3,208.2258898965224
111,-8.238549579800534,321.0,2003,4,80.27872182656168
112,-8.238549579800534,321.0,2003,5,22.054838853211987
