,Unnamed: 0,lat,lon,alt,bac,ano,mes,pr_local,pnt,IDW
1711,,-8.238549579800534,-37.0,,,2016,8,,-8.238549579800534;-37.0,0.0
1712,,-8.238549579800534,-37.0,,,2016,9,,-8.238549579800534;-37.0,4.076957646404416
1713,,-8.238549579800534,-37.0,,,2016,10,,-8.238549579800534;-37.0,0.0
1714,,-8.238549579800534,-37.0,,,2016,11,,-8.238549579800534;-37.0,0.0
1715,,-8.238549579800534,-37.0,,,2016,12,,-8.238549579800534;-37.0,0.40621253285191145
1716,,-8.238549579800534,-37.0,,,2017,1,,-8.238549579800534;-37.0,3.7725320487928014
1717,,-8.238549579800534,-37.0,,,2017,2,,-8.238549579800534;-37.0,32.07475134377848
1718,,-8.238549579800534,-37.0,,,2017,3,,-8.238549579800534;-37.0,63.76232912921428
1719,,-8.238549579800534,-37.0,,,2017,4,,-8.238549579800534;-37.0,43.50058810129702
1720,,-8.238549579800534,-37.0,,,2017,5,,-8.238549579800534;-37.0,37.46715812147325
1721,,-8.238549579800534,-37.0,,,2017,6,,-8.238549579800534;-37.0,23.559301664993352
1722,,-8.238549579800534,-37.0,,,2017,7,,-8.238549579800534;-37.0,60.89215598423339
1723,,-8.238549579800534,-37.0,,,2017,8,,-8.238549579800534;-37.0,6.425750039998062
1724,,-8.238549579800534,-37.0,,,2017,9,,-8.238549579800534;-37.0,0.04763596198863105
1725,,-8.238549579800534,-37.0,,,2017,10,,-8.238549579800534;-37.0,0.0
1726,,-8.238549579800534,-37.0,,,2017,11,,-8.238549579800534;-37.0,4.3205463640941675
1727,,-8.238549579800534,-37.0,,,2017,12,,-8.238549579800534;-37.0,26.829490355331245
1728,,-8.238549579800534,-37.0,,,2018,1,,-8.238549579800534;-37.0,25.541906474893313
1729,,-8.238549579800534,-37.0,,,2018,2,,-8.238549579800534;-37.0,59.120845706248794
1730,,-8.238549579800534,-37.0,,,2018,3,,-8.238549579800534;-37.0,160.7145064479398
1731,,-8.238549579800534,-37.0,,,2018,4,,-8.238549579800534;-37.0,59.521300663722954
1732,,-8.238549579800534,-37.0,,,2018,5,,-8.238549579800534;-37.0,20.189211963111845
1733,,-8.238549579800534,-37.0,,,2018,6,,-8.238549579800534;-37.0,0.08061470490383715
1734,,-8.238549579800534,-37.0,,,2018,7,,-8.238549579800534;-37.0,1.5571480425989936
1735,,-8.238549579800534,-37.0,,,2018,8,,-8.238549579800534;-37.0,0.31926315607021605
1736,,-8.238549579800534,-37.0,,,2018,9,,-8.238549579800534;-37.0,0.0
1737,,-8.238549579800534,-37.0,,,2018,10,,-8.238549579800534;-37.0,0.3412374977213932
1738,,-8.238549579800534,-37.0,,,2018,11,,-8.238549579800534;-37.0,15.449860822005894
1739,,-8.238549579800534,-37.0,,,2018,12,,-8.238549579800534;-37.0,84.33872177656704
1740,,-8.238549579800534,-37.0,,,2019,1,,-8.238549579800534;-37.0,21.88297816814953
1741,,-8.238549579800534,-37.0,,,2019,2,,-8.238549579800534;-37.0,63.07923802684667
1742,,-8.238549579800534,-37.0,,,2019,3,,-8.238549579800534;-37.0,192.70263935193609
1743,,-8.238549579800534,-37.0,,,2019,4,,-8.238549579800534;-37.0,65.19337829985514
1744,,-8.238549579800534,-37.0,,,2019,5,,-8.238549579800534;-37.0,46.37495521127564
1745,,-8.238549579800534,-37.0,,,2019,6,,-8.238549579800534;-37.0,18.234254643281233
1746,,-8.238549579800534,-37.0,,,2019,7,,-8.238549579800534;-37.0,25.567150909608717
1747,,-8.238549579800534,-37.0,,,2019,8,,-8.238549579800534;-37.0,1.69016600073122
1748,,-8.238549579800534,-37.0,,,2019,9,,-8.238549579800534;-37.0,0.2559281232910449
1749,,-8.238549579800534,-37.0,,,2019,10,,-8.238549579800534;-37.0,0.8535180879119078
1750,,-8.238549579800534,-37.0,,,2019,11,,-8.238549579800534;-37.0,0.16855801934438677
1751,,-8.238549579800534,-37.0,,,2019,12,,-8.238549579800534;-37.0,0.277255466898632
1752,,-8.238549579800534,-37.0,,,2020,1,,-8.238549579800534;-37.0,41.92650954549316
1753,,-8.238549579800534,-37.0,,,2020,2,,-8.238549579800534;-37.0,120.56681821796597
1754,,-8.238549579800534,-37.0,,,2020,3,,-8.238549579800534;-37.0,447.3202777978778
1755,,-8.238549579800534,-37.0,,,2020,4,,-8.238549579800534;-37.0,119.21801905719933
1756,,-8.238549579800534,-37.0,,,2020,5,,-8.238549579800534;-37.0,73.6578924955416
1757,,-8.238549579800534,-37.0,,,2020,6,,-8.238549579800534;-37.0,31.50454686869171
1758,,-8.238549579800534,-37.0,,,2020,7,,-8.238549579800534;-37.0,5.532201242786535
1759,,-8.238549579800534,-37.0,,,2020,8,,-8.238549579800534;-37.0,0.22405068436640943
1760,,-8.238549579800534,-37.0,,,2020,9,,-8.238549579800534;-37.0,0.025650133378493638
1761,,-8.238549579800534,-37.0,,,2020,10,,-8.238549579800534;-37.0,1.6548355474718073
1762,,-8.238549579800534,-37.0,,,2020,11,,-8.238549579800534;-37.0,28.138943181530685
1763,,-8.238549579800534,-37.0,,,2020,12,,-8.238549579800534;-37.0,8.649040117891749
1764,,-8.238549579800534,-37.0,,,2021,1,,-8.238549579800534;-37.0,9.932921824499859
1765,,-8.238549579800534,-37.0,,,2021,2,,-8.238549579800534;-37.0,73.4968672650817
1766,,-8.238549579800534,-37.0,,,2021,3,,-8.238549579800534;-37.0,51.948046888709236
1767,,-8.238549579800534,-37.0,,,2021,4,,-8.238549579800534;-37.0,114.30311568834183
1768,,-8.238549579800534,-37.0,,,2021,5,,-8.238549579800534;-37.0,40.259005619814616
