,lat,lon,ano,mes,pnt
230,-8.238549579800534,321.0,2013,3,-8.238549579800534;321.0
231,-8.238549579800534,321.0,2013,4,-8.238549579800534;321.0
232,-8.238549579800534,321.0,2013,5,-8.238549579800534;321.0
233,-8.238549579800534,321.0,2013,6,-8.238549579800534;321.0
234,-8.238549579800534,321.0,2013,7,-8.238549579800534;321.0
235,-8.238549579800534,321.0,2013,8,-8.238549579800534;321.0
236,-8.238549579800534,321.0,2013,9,-8.238549579800534;321.0
237,-8.238549579800534,321.0,2013,10,-8.238549579800534;321.0
238,-8.238549579800534,321.0,2013,11,-8.238549579800534;321.0
239,-8.238549579800534,321.0,2013,12,-8.238549579800534;321.0
240,-8.238549579800534,321.0,2014,1,-8.238549579800534;321.0
241,-8.238549579800534,321.0,2014,2,-8.238549579800534;321.0
242,-8.238549579800534,321.0,2014,3,-8.238549579800534;321.0
243,-8.238549579800534,321.0,2014,4,-8.238549579800534;321.0
244,-8.238549579800534,321.0,2014,5,-8.238549579800534;321.0
245,-8.238549579800534,321.0,2014,6,-8.238549579800534;321.0
246,-8.238549579800534,321.0,2014,7,-8.238549579800534;321.0
247,-8.238549579800534,321.0,2014,8,-8.238549579800534;321.0
248,-8.238549579800534,321.0,2014,9,-8.238549579800534;321.0
249,-8.238549579800534,321.0,2014,10,-8.238549579800534;321.0
250,-8.238549579800534,321.0,2014,11,-8.238549579800534;321.0
251,-8.238549579800534,321.0,2014,12,-8.238549579800534;321.0
252,-8.238549579800534,321.0,2015,1,-8.238549579800534;321.0
253,-8.238549579800534,321.0,2015,2,-8.238549579800534;321.0
254,-8.238549579800534,321.0,2015,3,-8.238549579800534;321.0
255,-8.238549579800534,321.0,2015,4,-8.238549579800534;321.0
256,-8.238549579800534,321.0,2015,5,-8.238549579800534;321.0
257,-8.238549579800534,321.0,2015,6,-8.238549579800534;321.0
258,-8.238549579800534,321.0,2015,7,-8.238549579800534;321.0
259,-8.238549579800534,321.0,2015,8,-8.238549579800534;321.0
260,-8.238549579800534,321.0,2015,9,-8.238549579800534;321.0
261,-8.238549579800534,321.0,2015,10,-8.238549579800534;321.0
262,-8.238549579800534,321.0,2015,11,-8.238549579800534;321.0
263,-8.238549579800534,321.0,2015,12,-8.238549579800534;321.0
264,-8.238549579800534,321.0,2016,1,-8.238549579800534;321.0
265,-8.238549579800534,321.0,2016,2,-8.238549579800534;321.0
266,-8.238549579800534,321.0,2016,3,-8.238549579800534;321.0
267,-8.238549579800534,321.0,2016,4,-8.238549579800534;321.0
268,-8.238549579800534,321.0,2016,5,-8.238549579800534;321.0
269,-8.238549579800534,321.0,2016,6,-8.238549579800534;321.0
270,-8.238549579800534,321.0,2016,7,-8.238549579800534;321.0
271,-8.238549579800534,321.0,2016,8,-8.238549579800534;321.0
272,-8.238549579800534,321.0,2016,9,-8.238549579800534;321.0
273,-8.238549579800534,321.0,2016,10,-8.238549579800534;321.0
274,-8.238549579800534,321.0,2016,11,-8.238549579800534;321.0
275,-8.238549579800534,321.0,2016,12,-8.238549579800534;321.0
276,-8.238549579800534,321.0,2017,1,-8.238549579800534;321.0
277,-8.238549579800534,321.0,2017,2,-8.238549579800534;321.0
278,-8.238549579800534,321.0,2017,3,-8.238549579800534;321.0
279,-8.238549579800534,321.0,2017,4,-8.238549579800534;321.0
280,-8.238549579800534,321.0,2017,5,-8.238549579800534;321.0
281,-8.238549579800534,321.0,2017,6,-8.238549579800534;321.0
282,-8.238549579800534,321.0,2017,7,-8.238549579800534;321.0
283,-8.238549579800534,321.0,2017,8,-8.238549579800534;321.0
284,-8.238549579800534,321.0,2017,9,-8.238549579800534;321.0
285,-8.238549579800534,321.0,2017,10,-8.238549579800534;321.0
286,-8.238549579800534,321.0,2017,11,-8.238549579800534;321.0
287,-8.238549579800534,321.0,2017,12,-8.238549579800534;321.0
288,-8.238549579800534,321.0,2018,1,-8.238549579800534;321.0
289,-8.238549579800534,321.0,2018,2,-8.238549579800534;321.0
290,-8.238549579800534,321.0,2018,3,-8.238549579800534;321.0
291,-8.238549579800534,321.0,2018,4,-8.238549579800534;321.0
292,-8.238549579800534,321.0,2018,5,-8.238549579800534;321.0
293,-8.238549579800534,321.0,2018,6,-8.238549579800534;321.0
294,-8.238549579800534,321.0,2018,7,-8.238549579800534;321.0
295,-8.238549579800534,321.0,2018,8,-8.238549579800534;321.0
296,-8.238549579800534,321.0,2018,9,-8.238549579800534;321.0
297,-8.238549579800534,321.0,2018,10,-8.238549579800534;321.0
298,-8.238549579800534,321.0,2018,11,-8.238549579800534;321.0
299,-8.238549579800534,321.0,2018,12,-8.238549579800534;321.0
300,-8.238549579800534,321.0,2019,1,-8.238549579800534;321.0
301,-8.238549579800534,321.0,2019,2,-8.238549579800534;321.0
302,-8.238549579800534,321.0,2019,3,-8.238549579800534;321.0
303,-8.238549579800534,321.0,2019,4,-8.238549579800534;321.0
304,-8.238549579800534,321.0,2019,5,-8.238549579800534;321.0
305,-8.238549579800534,321.0,2019,6,-8.238549579800534;321.0
306,-8.238549579800534,321.0,2019,7,-8.238549579800534;321.0
307,-8.238549579800534,321.0,2019,8,-8.238549579800534;321.0
308,-8.238549579800534,321.0,2019,9,-8.238549579800534;321.0
309,-8.238549579800534,321.0,2019,10,-8.238549579800534;321.0
310,-8.238549579800534,321.0,2019,11,-8.238549579800534;321.0
311,-8.238549579800534,321.0,2019,12,-8.238549579800534;321.0
312,-8.238549579800534,321.0,2020,1,-8.238549579800534;321.0
313,-8.238549579800534,321.0,2020,2,-8.238549579800534;321.0
314,-8.238549579800534,321.0,2020,3,-8.238549579800534;321.0
315,-8.238549579800534,321.0,2020,4,-8.238549579800534;321.0
316,-8.238549579800534,321.0,2020,5,-8.238549579800534;321.0
317,-8.238549579800534,321.0,2020,6,-8.238549579800534;321.0
318,-8.238549579800534,321.0,2020,7,-8.238549579800534;321.0
319,-8.238549579800534,321.0,2020,8,-8.238549579800534;321.0
320,-8.238549579800534,321.0,2020,9,-8.238549579800534;321.0
321,-8.238549579800534,321.0,2020,10,-8.238549579800534;321.0
322,-8.238549579800534,321.0,2020,11,-8.238549579800534;321.0
323,-8.238549579800534,321.0,2020,12,-8.238549579800534;321.0
324,-8.238549579800534,321.0,2021,1,-8.238549579800534;321.0
325,-8.238549579800534,321.0,2021,2,-8.238549579800534;321.0
326,-8.238549579800534,321.0,2021,3,-8.238549579800534;321.0
327,-8.238549579800534,321.0,2021,4,-8.238549579800534;321.0
328,-8.238549579800534,321.0,2021,5,-8.238549579800534;321.0
329,-8.238549579800534,321.0,2021,6,-8.238549579800534;321.0
330,-8.238549579800534,321.0,2021,7,-8.238549579800534;321.0
331,-8.238549579800534,321.0,2021,8,-8.238549579800534;321.0
332,-8.238549579800534,321.0,2021,9,-8.238549579800534;321.0
333,-8.238549579800534,321.0,2021,10,-8.238549579800534;321.0
334,-8.238549579800534,321.0,2021,11,-8.238549579800534;321.0
335,-8.238549579800534,321.0,2021,12,-8.238549579800534;321.0
336,-8.238549579800534,321.0,2022,1,-8.238549579800534;321.0
337,-8.238549579800534,321.0,2022,2,-8.238549579800534;321.0
338,-8.238549579800534,321.0,2022,3,-8.238549579800534;321.0
339,-8.238549579800534,321.0,2022,4,-8.238549579800534;321.0
340,-8.238549579800534,321.0,2022,5,-8.238549579800534;321.0
341,-8.238549579800534,321.0,2022,6,-8.238549579800534;321.0
342,-8.238549579800534,321.0,2022,7,-8.238549579800534;321.0
343,-8.238549579800534,321.0,2022,8,-8.238549579800534;321.0
344,-8.238549579800534,321.0,2022,9,-8.238549579800534;321.0
345,-8.238549579800534,321.0,2022,10,-8.238549579800534;321.0
346,-8.238549579800534,321.0,2022,11,-8.238549579800534;321.0
347,-8.238549579800534,321.0,2022,12,-8.238549579800534;321.0
348,-8.238549579800534,321.0,2023,1,-8.238549579800534;321.0
349,-8.238549579800534,321.0,2023,2,-8.238549579800534;321.0
350,-8.238549579800534,321.0,2023,3,-8.238549579800534;321.0
351,-8.238549579800534,321.0,2023,4,-8.238549579800534;321.0
352,-8.238549579800534,321.0,2023,5,-8.238549579800534;321.0
353,-8.238549579800534,321.0,2023,6,-8.238549579800534;321.0
354,-8.238549579800534,321.0,2023,7,-8.238549579800534;321.0
355,-8.238549579800534,321.0,2023,8,-8.238549579800534;321.0
356,-8.238549579800534,321.0,2023,9,-8.238549579800534;321.0
357,-8.238549579800534,321.0,2023,10,-8.238549579800534;321.0
358,-8.238549579800534,321.0,2023,11,-8.238549579800534;321.0
359,-8.238549579800534,321.0,2023,12,-8.238549579800534;321.0
360,-8.238549579800534,321.5,1994,1,-8.238549579800534;321.5
361,-8.238549579800534,321.5,1994,2,-8.238549579800534;321.5
362,-8.238549579800534,321.5,1994,3,-8.238549579800534;321.5
363,-8.238549579800534,321.5,1994,4,-8.238549579800534;321.5
364,-8.238549579800534,321.5,1994,5,-8.238549579800534;321.5
365,-8.238549579800534,321.5,1994,6,-8.238549579800534;321.5
366,-8.238549579800534,321.5,1994,7,-8.238549579800534;321.5
367,-8.238549579800534,321.5,1994,8,-8.238549579800534;321.5
368,-8.238549579800534,321.5,1994,9,-8.238549579800534;321.5
369,-8.238549579800534,321.5,1994,10,-8.238549579800534;321.5
370,-8.238549579800534,321.5,1994,11,-8.238549579800534;321.5
371,-8.238549579800534,321.5,1994,12,-8.238549579800534;321.5
372,-8.238549579800534,321.5,1995,1,-8.238549579800534;321.5
373,-8.238549579800534,321.5,1995,2,-8.238549579800534;321.5
374,-8.238549579800534,321.5,1995,3,-8.238549579800534;321.5
375,-8.238549579800534,321.5,1995,4,-8.238549579800534;321.5
376,-8.238549579800534,321.5,1995,5,-8.238549579800534;321.5
377,-8.238549579800534,321.5,1995,6,-8.238549579800534;321.5
378,-8.238549579800534,321.5,1995,7,-8.238549579800534;321.5
379,-8.238549579800534,321.5,1995,8,-8.238549579800534;321.5
380,-8.238549579800534,321.5,1995,9,-8.238549579800534;321.5
381,-8.238549579800534,321.5,1995,10,-8.238549579800534;321.5
382,-8.238549579800534,321.5,1995,11,-8.238549579800534;321.5
383,-8.238549579800534,321.5,1995,12,-8.238549579800534;321.5
384,-8.238549579800534,321.5,1996,1,-8.238549579800534;321.5
385,-8.238549579800534,321.5,1996,2,-8.238549579800534;321.5
386,-8.238549579800534,321.5,1996,3,-8.238549579800534;321.5
387,-8.238549579800534,321.5,1996,4,-8.238549579800534;321.5
388,-8.238549579800534,321.5,1996,5,-8.238549579800534;321.5
389,-8.238549579800534,321.5,1996,6,-8.238549579800534;321.5
390,-8.238549579800534,321.5,1996,7,-8.238549579800534;321.5
391,-8.238549579800534,321.5,1996,8,-8.238549579800534;321.5
392,-8.238549579800534,321.5,1996,9,-8.238549579800534;321.5
393,-8.238549579800534,321.5,1996,10,-8.238549579800534;321.5
394,-8.238549579800534,321.5,1996,11,-8.238549579800534;321.5
395,-8.238549579800534,321.5,1996,12,-8.238549579800534;321.5
396,-8.238549579800534,321.5,1997,1,-8.238549579800534;321.5
397,-8.238549579800534,321.5,1997,2,-8.238549579800534;321.5
398,-8.238549579800534,321.5,1997,3,-8.238549579800534;321.5
399,-8.238549579800534,321.5,1997,4,-8.238549579800534;321.5
400,-8.238549579800534,321.5,1997,5,-8.238549579800534;321.5
401,-8.238549579800534,321.5,1997,6,-8.238549579800534;321.5
402,-8.238549579800534,321.5,1997,7,-8.238549579800534;321.5
403,-8.238549579800534,321.5,1997,8,-8.238549579800534;321.5
404,-8.238549579800534,321.5,1997,9,-8.238549579800534;321.5
405,-8.238549579800534,321.5,1997,10,-8.238549579800534;321.5
406,-8.238549579800534,321.5,1997,11,-8.238549579800534;321.5
