,lat,lon,ano,mes,pr
1437,-8.238549579800534,321.5,2006,10,7.1752556538e-06
1438,-8.238549579800534,321.5,2006,11,0.00021735116125144
1439,-8.238549579800534,321.5,2006,12,0.0008430844164202
1440,-8.238549579800534,321.5,2007,1,0.0022984217565733002
1441,-8.238549579800534,321.5,2007,2,0.0026909381702
1442,-8.238549579800534,321.5,2007,3,0.002022301576887
1443,-8.238549579800534,321.5,2007,4,0.0016269535705
1444,-8.238549579800534,321.5,2007,5,0.0009367357389999999
1445,-8.238549579800534,321.5,2007,6,0.000117491437922
1446,-8.238549579800534,321.5,2007,7,0.000117641159057
1447,-8.238549579800534,321.5,2007,8,0.0005968762605222058
1448,-8.238549579800534,321.5,2007,9,2.27228373769399e-05
1449,-8.238549579800534,321.5,2007,10,0.0001411792355878605
1450,-8.238549579800534,321.5,2007,11,0.00020171556307628917
1451,-8.238549579800534,321.5,2007,12,0.000123344074083
1452,-8.238549579800534,321.5,2008,1,0.0030254424226438
1453,-8.238549579800534,321.5,2008,2,0.00338564282034
1454,-8.238549579800534,321.5,2008,3,0.00524991322655
1455,-8.238549579800534,321.5,2008,4,0.0034617530903000003
1456,-8.238549579800534,321.5,2008,5,0.0017112450201
1457,-8.238549579800534,321.5,2008,6,0.00038610338015
1458,-8.238549579800534,321.5,2008,7,0.00012200996065096
1459,-8.238549579800534,321.5,2008,8,5.76918535844e-05
1460,-8.238549579800534,321.5,2008,9,4.5059186781182396e-05
1461,-8.238549579800534,321.5,2008,10,1.435955884981463e-05
1462,-8.238549579800534,321.5,2008,11,0.0002606207902843
1463,-8.238549579800534,321.5,2008,12,0.000468416940386489
1464,-8.238549579800534,321.5,2009,1,0.0017612440553694366
1465,-8.238549579800534,321.5,2009,2,0.0013351323169
1466,-8.238549579800534,321.5,2009,3,0.0020255821908
1467,-8.238549579800534,321.5,2009,4,0.0016399171115
1468,-8.238549579800534,321.5,2009,5,0.0016481654122
1469,-8.238549579800534,321.5,2009,6,0.00015124254319
1470,-8.238549579800534,321.5,2009,7,0.00022938171793
1471,-8.238549579800534,321.5,2009,8,5.85317025713e-05
1472,-8.238549579800534,321.5,2009,9,1.9420631833111198e-05
1473,-8.238549579800534,321.5,2009,10,2.092668018323e-05
1474,-8.238549579800534,321.5,2009,11,1.5432819875978002e-05
1475,-8.238549579800534,321.5,2009,12,0.000229075535766601
1476,-8.238549579800534,321.5,2010,1,0.00012033426571554739
1477,-8.238549579800534,321.5,2010,2,0.0034850852244256
1478,-8.238549579800534,321.5,2010,3,0.0040031287778999995
1479,-8.238549579800534,321.5,2010,4,0.00192017221546004
1480,-8.238549579800534,321.5,2010,5,0.0018483506619268
1481,-8.238549579800534,321.5,2010,6,0.000283998922628
1482,-8.238549579800534,321.5,2010,7,0.000109047026666
