,lat,lon,ano,mes,pr_local
285,-7.5118,-37.6366,2017,10,0.0
286,-7.5118,-37.6366,2017,11,0.0
287,-7.5118,-37.6366,2017,12,2.6
288,-7.5118,-37.6366,2018,1,82.8
289,-7.5118,-37.6366,2018,2,92.2
290,-7.5118,-37.6366,2018,3,240.8
291,-7.5118,-37.6366,2018,4,196.6
292,-7.5118,-37.6366,2018,5,49.8
293,-7.5118,-37.6366,2018,6,2.4
294,-7.5118,-37.6366,2018,7,10.2
295,-7.5118,-37.6366,2018,8,3.0
296,-7.5118,-37.6366,2018,9,0.0
297,-7.5118,-37.6366,2018,10,2.8
298,-7.5118,-37.6366,2018,11,12.0
299,-7.5118,-37.6366,2018,12,50.2
300,-7.5118,-37.6366,2019,1,21.0
301,-7.5118,-37.6366,2019,2,214.2
302,-7.5118,-37.6366,2019,3,127.6
303,-7.5118,-37.6366,2019,4,125.6
304,-7.5118,-37.6366,2019,5,54.6
305,-7.5118,-37.6366,2019,6,30.2
306,-7.5118,-37.6366,2019,7,69.6
307,-7.5118,-37.6366,2019,8,18.6
308,-7.5118,-37.6366,2019,9,5.2
309,-7.5118,-37.6366,2019,10,16.0
310,-7.5118,-37.6366,2019,11,18.0
311,-7.5118,-37.6366,2019,12,1.2
312,-7.5118,-37.6366,2020,1,95.8
313,-7.5118,-37.6366,2020,2,275.4
314,-7.5118,-37.6366,2020,3,384.2
315,-7.5118,-37.6366,2020,4,301.6
316,-7.5118,-37.6366,2020,5,132.6
317,-7.5118,-37.6366,2020,6,47.2
318,-7.5118,-37.6366,2020,7,48.0
319,-7.5118,-37.6366,2020,8,0.0
320,-7.5118,-37.6366,2020,9,0.0
321,-7.5118,-37.6366,2020,10,0.0
322,-7.5118,-37.6366,2020,11,59.0
323,-7.5118,-37.6366,2020,12,0.0
324,-7.5118,-37.6366,2021,1,13.0
325,-7.5118,-37.6366,2021,2,186.8
326,-7.5118,-37.6366,2021,3,107.8
327,-7.5118,-37.6366,2021,4,308.8
328,-7.5118,-37.6366,2021,5,34.6
329,-7.5118,-37.6366,2021,6,6.0
330,-7.5118,-37.6366,2021,7,45.0
331,-7.5118,-37.6366,2021,8,3.0
332,-7.5118,-37.6366,2021,9,0.0
333,-7.5118,-37.6366,2021,10,1.2
334,-7.5118,-37.6366,2021,11,10.0
335,-7.5118,-37.6366,2021,12,58.0
336,-7.5118,-37.6366,2022,1,89.6
337,-7.5118,-37.6366,2022,2,67.8
338,-7.5118,-37.6366,2022,3,238.6
339,-7.5118,-37.6366,2022,4,57.8
340,-7.5118,-37.6366,2022,5,131.8
341,-7.5118,-37.6366,2022,6,90.4
342,-7.5118,-37.6366,2022,7,92.0
343,-7.5118,-37.6366,2022,8,26.0
344,-7.5118,-37.6366,2022,9,14.0
345,-7.5118,-37.6366,2022,10,19.0
346,-7.5118,-37.6366,2022,11,191.0
347,-7.5118,-37.6366,2022,12,103.0
348,-7.5118,-37.6366,2023,1,30.0
349,-7.5118,-37.6366,2023,2,134.6
350,-7.5118,-37.6366,2023,3,117.8
351,-7.5118,-37.6366,2023,4,148.0
352,-7.5118,-37.6366,2023,5,74.0
353,-7.5118,-37.6366,2023,6,60.0
354,-7.5118,-37.6366,2023,7,44.0
355,-7.5118,-37.6366,2023,8,15.0
356,-7.5118,-37.6366,2023,9,4.6
357,-7.5118,-37.6366,2023,10,0.0
358,-7.5118,-37.6366,2023,11,62.0
359,-7.5118,-37.6366,2023,12,27.8
360,-7.0933,-38.1733,1994,1,441.5
361,-7.0933,-38.1733,1994,2,165.8
362,-7.0933,-38.1733,1994,3,119.7
363,-7.0933,-38.1733,1994,4,242.4
364,-7.0933,-38.1733,1994,5,73.2
365,-7.0933,-38.1733,1994,6,136.8
366,-7.0933,-38.1733,1994,7,33.3
367,-7.0933,-38.1733,1994,8,0.0
368,-7.0933,-38.1733,1994,9,0.0
369,-7.0933,-38.1733,1994,10,0.0
370,-7.0933,-38.1733,1994,11,0.0
371,-7.0933,-38.1733,1994,12,35.3
372,-7.0933,-38.1733,1995,1,80.1
373,-7.0933,-38.1733,1995,2,165.3
374,-7.0933,-38.1733,1995,3,163.3
375,-7.0933,-38.1733,1995,4,266.7
376,-7.0933,-38.1733,1995,5,201.3
377,-7.0933,-38.1733,1995,6,26.0
378,-7.0933,-38.1733,1995,7,10.4
379,-7.0933,-38.1733,1995,8,0.0
380,-7.0933,-38.1733,1995,9,0.0
381,-7.0933,-38.1733,1995,10,0.0
382,-7.0933,-38.1733,1995,11,24.1
383,-7.0933,-38.1733,1995,12,0.0
384,-7.0933,-38.1733,1996,1,168.2
385,-7.0933,-38.1733,1996,2,208.7
386,-7.0933,-38.1733,1996,3,238.0
387,-7.0933,-38.1733,1996,4,362.8
388,-7.0933,-38.1733,1996,5,160.3
389,-7.0933,-38.1733,1996,6,37.8
390,-7.0933,-38.1733,1996,7,0.0
391,-7.0933,-38.1733,1996,8,30.3
392,-7.0933,-38.1733,1996,9,0.0
393,-7.0933,-38.1733,1996,10,6.5
394,-7.0933,-38.1733,1996,11,0.0
395,-7.0933,-38.1733,1996,12,35.9
396,-7.0933,-38.1733,1997,1,390.8
397,-7.0933,-38.1733,1997,2,78.2
398,-7.0933,-38.1733,1997,3,247.5
399,-7.0933,-38.1733,1997,4,244.7
400,-7.0933,-38.1733,1997,5,154.9
401,-7.0933,-38.1733,1997,6,0.0
402,-7.0933,-38.1733,1997,7,6.7
403,-7.0933,-38.1733,1997,8,11.8
404,-7.0933,-38.1733,1997,9,0.0
405,-7.0933,-38.1733,1997,10,8.7
406,-7.0933,-38.1733,1997,11,59.7
407,-7.0933,-38.1733,1997,12,106.3
408,-7.0933,-38.1733,1998,1,119.8
409,-7.0933,-38.1733,1998,2,172.6
410,-7.0933,-38.1733,1998,3,67.2
411,-7.0933,-38.1733,1998,4,159.5
412,-7.0933,-38.1733,1998,5,0.0
413,-7.0933,-38.1733,1998,6,0.0
414,-7.0933,-38.1733,1998,7,20.1
415,-7.0933,-38.1733,1998,8,6.5
416,-7.0933,-38.1733,1998,9,0.0
417,-7.0933,-38.1733,1998,10,0.0
418,-7.0933,-38.1733,1998,11,0.0
419,-7.0933,-38.1733,1998,12,5.1
420,-7.0933,-38.1733,1999,1,48.8
421,-7.0933,-38.1733,1999,2,40.2
422,-7.0933,-38.1733,1999,3,264.0
423,-7.0933,-38.1733,1999,4,74.6
424,-7.0933,-38.1733,1999,5,174.9
425,-7.0933,-38.1733,1999,6,4.5
426,-7.0933,-38.1733,1999,7,8.4
427,-7.0933,-38.1733,1999,8,0.0
428,-7.0933,-38.1733,1999,9,0.0
429,-7.0933,-38.1733,1999,10,42.0
430,-7.0933,-38.1733,1999,11,62.9
431,-7.0933,-38.1733,1999,12,33.9
432,-7.0933,-38.1733,2000,1,55.9
433,-7.0933,-38.1733,2000,2,242.3
434,-7.0933,-38.1733,2000,3,235.2
435,-7.0933,-38.1733,2000,4,258.3
436,-7.0933,-38.1733,2000,5,59.5
437,-7.0933,-38.1733,2000,6,24.2
438,-7.0933,-38.1733,2000,7,21.5
439,-7.0933,-38.1733,2000,8,28.2
440,-7.0933,-38.1733,2000,9,8.9
441,-7.0933,-38.1733,2000,10,0.0
442,-7.0933,-38.1733,2000,11,0.0
443,-7.0933,-38.1733,2000,12,71.9
444,-7.0933,-38.1733,2001,1,7.5
445,-7.0933,-38.1733,2001,2,153.2
446,-7.0933,-38.1733,2001,3,268.8
447,-7.0933,-38.1733,2001,4,102.1
448,-7.0933,-38.1733,2001,5,0.0
449,-7.0933,-38.1733,2001,6,36.8
450,-7.0933,-38.1733,2001,7,0.0
451,-7.0933,-38.1733,2001,8,0.0
452,-7.0933,-38.1733,2001,9,0.0
453,-7.0933,-38.1733,2001,10,18.5
454,-7.0933,-38.1733,2001,11,12.7
455,-7.0933,-38.1733,2001,12,48.7
456,-7.0933,-38.1733,2002,1,441.3
457,-7.0933,-38.1733,2002,2,75.8
458,-7.0933,-38.1733,2002,3,183.3
459,-7.0933,-38.1733,2002,4,65.5
460,-7.0933,-38.1733,2002,5,200.1
461,-7.0933,-38.1733,2002,6,11.1
462,-7.0933,-38.1733,2002,7,7.6
463,-7.0933,-38.1733,2002,8,0.0
464,-7.0933,-38.1733,2002,9,0.0
465,-7.0933,-38.1733,2002,10,0.0
466,-7.0933,-38.1733,2002,11,0.0
467,-7.0933,-38.1733,2002,12,0.0
468,-7.0933,-38.1733,2003,1,223.2
469,-7.0933,-38.1733,2003,2,172.8
470,-7.0933,-38.1733,2003,3,230.2
471,-7.0933,-38.1733,2003,4,180.7
472,-7.0933,-38.1733,2003,5,3.5
473,-7.0933,-38.1733,2003,6,0.0
474,-7.0933,-38.1733,2003,7,21.3
475,-7.0933,-38.1733,2003,8,0.0
476,-7.0933,-38.1733,2003,9,0.0
477,-7.0933,-38.1733,2003,10,0.0
478,-7.0933,-38.1733,2003,11,0.0
479,-7.0933,-38.1733,2003,12,26.1
480,-7.0933,-38.1733,2004,1,403.5
481,-7.0933,-38.1733,2004,2,255.1
482,-7.0933,-38.1733,2004,3,146.5
483,-7.0933,-38.1733,2004,4,81.6
484,-7.0933,-38.1733,2004,5,155.2
485,-7.0933,-38.1733,2004,6,72.4
486,-7.0933,-38.1733,2004,7,0.0
487,-7.0933,-38.1733,2004,8,0.0
488,-7.0933,-38.1733,2004,9,0.0
489,-7.0933,-38.1733,2004,10,0.0
490,-7.0933,-38.1733,2004,11,0.0
491,-7.0933,-38.1733,2004,12,4.7
492,-7.0933,-38.1733,2005,1,123.7
493,-7.0933,-38.1733,2005,2,152.8
494,-7.0933,-38.1733,2005,3,208.6
495,-7.0933,-38.1733,2005,4,94.6
496,-7.0933,-38.1733,2005,5,80.3
497,-7.0933,-38.1733,2005,6,17.4
498,-7.0933,-38.1733,2005,7,0.0
499,-7.0933,-38.1733,2005,8,8.7
500,-7.0933,-38.1733,2005,9,0.0
501,-7.0933,-38.1733,2005,10,0.0
502,-7.0933,-38.1733,2005,11,0.0
503,-7.0933,-38.1733,2005,12,92.1
504,-7.0933,-38.1733,2006,1,0.0
505,-7.0933,-38.1733,2006,2,282.2
506,-7.0933,-38.1733,2006,3,327.6
507,-7.0933,-38.1733,2006,4,373.9
508,-7.0933,-38.1733,2006,5,219.4
509,-7.0933,-38.1733,2006,6,39.7
510,-7.0933,-38.1733,2006,7,8.8
511,-7.0933,-38.1733,2006,8,0.0
512,-7.0933,-38.1733,2006,9,0.0
513,-7.0933,-38.1733,2006,10,4.7
514,-7.0933,-38.1733,2006,11,0.0
515,-7.0933,-38.1733,2006,12,46.8
516,-7.0933,-38.1733,2007,1,131.5
517,-7.0933,-38.1733,2007,2,309.6
518,-7.0933,-38.1733,2007,3,177.7
519,-7.0933,-38.1733,2007,4,104.9
520,-7.0933,-38.1733,2007,5,105.9
521,-7.0933,-38.1733,2007,6,7.7
522,-7.0933,-38.1733,2007,7,7.4
523,-7.0933,-38.1733,2007,8,12.4
524,-7.0933,-38.1733,2007,9,0.0
525,-7.0933,-38.1733,2007,10,0.0
526,-7.0933,-38.1733,2007,11,26.4
527,-7.0933,-38.1733,2007,12,43.5
528,-7.0933,-38.1733,2008,1,76.7
529,-7.0933,-38.1733,2008,2,247.0
530,-7.0933,-38.1733,2008,3,543.7
531,-7.0933,-38.1733,2008,4,298.8
532,-7.0933,-38.1733,2008,5,187.6
533,-7.0933,-38.1733,2008,6,46.6
534,-7.0933,-38.1733,2008,7,51.6
535,-7.0933,-38.1733,2008,8,0.0
536,-7.0933,-38.1733,2008,9,0.0
537,-7.0933,-38.1733,2008,10,0.0
538,-7.0933,-38.1733,2008,11,0.0
539,-7.0933,-38.1733,2008,12,8.8
540,-7.0933,-38.1733,2009,1,101.2
541,-7.0933,-38.1733,2009,2,257.8
542,-7.0933,-38.1733,2009,3,116.4
543,-7.0933,-38.1733,2009,4,318.6
544,-7.0933,-38.1733,2009,5,301.1
545,-7.0933,-38.1733,2009,6,33.7
546,-7.0933,-38.1733,2009,7,28.6
547,-7.0933,-38.1733,2009,8,8.1
548,-7.0933,-38.1733,2009,9,0.0
549,-7.0933,-38.1733,2009,10,15.2
550,-7.0933,-38.1733,2009,11,17.1
551,-7.0933,-38.1733,2009,12,53.4
552,-7.0933,-38.1733,2010,1,236.0
553,-7.0933,-38.1733,2010,2,45.8
554,-7.0933,-38.1733,2010,3,99.2
555,-7.0933,-38.1733,2010,4,133.2
556,-7.0933,-38.1733,2010,5,5.2
557,-7.0933,-38.1733,2010,6,101.5
558,-7.0933,-38.1733,2010,7,0.0
559,-7.0933,-38.1733,2010,8,0.0
560,-7.0933,-38.1733,2010,9,0.0
561,-7.0933,-38.1733,2010,10,62.2
562,-7.0933,-38.1733,2010,11,0.0
563,-7.0933,-38.1733,2010,12,70.3
564,-7.0933,-38.1733,2011,1,323.9
565,-7.0933,-38.1733,2011,2,151.7
566,-7.0933,-38.1733,2011,3,88.7
567,-7.0933,-38.1733,2011,4,176.6
568,-7.0933,-38.1733,2011,5,148.8
569,-7.0933,-38.1733,2011,6,29.1
570,-7.0933,-38.1733,2011,7,22.0
571,-7.0933,-38.1733,2011,8,0.0
572,-7.0933,-38.1733,2011,9,0.0
573,-7.0933,-38.1733,2011,10,13.6
574,-7.0933,-38.1733,2011,11,61.9
575,-7.0933,-38.1733,2011,12,38.8
576,-7.0933,-38.1733,2012,1,25.6
577,-7.0933,-38.1733,2012,2,133.0
578,-7.0933,-38.1733,2012,3,104.8
579,-7.0933,-38.1733,2012,4,71.3
580,-7.0933,-38.1733,2012,5,39.3
581,-7.0933,-38.1733,2012,6,10.1
582,-7.0933,-38.1733,2012,7,0.0
583,-7.0933,-38.1733,2012,8,0.0
584,-7.0933,-38.1733,2012,9,0.0
585,-7.0933,-38.1733,2012,10,0.0
586,-7.0933,-38.1733,2012,11,0.0
587,-7.0933,-38.1733,2012,12,1.6
588,-7.0933,-38.1733,2013,1,14.4
589,-7.0933,-38.1733,2013,2,49.1
590,-7.0933,-38.1733,2013,3,178.2
591,-7.0933,-38.1733,2013,4,116.8
592,-7.0933,-38.1733,2013,5,74.8
593,-7.0933,-38.1733,2013,6,114.1
594,-7.0933,-38.1733,2013,7,20.5
595,-7.0933,-38.1733,2013,8,0.0
596,-7.0933,-38.1733,2013,9,0.0
597,-7.0933,-38.1733,2013,10,17.0
598,-7.0933,-38.1733,2013,11,12.3
599,-7.0933,-38.1733,2013,12,107.2
600,-7.0933,-38.1733,2014,1,77.3
601,-7.0933,-38.1733,2014,2,77.1
602,-7.0933,-38.1733,2014,3,299.3
603,-7.0933,-38.1733,2014,4,123.1
604,-7.0933,-38.1733,2014,5,17.1
605,-7.0933,-38.1733,2014,6,35.8
